iter	Passed	Remaining
417	2774	3863
418	2782	3857
419	2788	3850
420	2794	3843
421	2801	3836
422	2806	3828
423	2813	3822
424	2819	3815
425	2826	3809
426	2833	3802
427	2840	3796
428	2847	3790
429	2853	3782
430	2860	3776
431	2868	3771
432	2875	3765
433	2882	3758
434	2889	3752
435	2896	3746
436	2902	3739
437	2909	3732
438	2915	3725
439	2921	3718
440	2928	3712
441	2934	3705
442	2942	3699
443	2949	3692
444	2955	3686
445	2961	3679
446	2967	3671
447	2975	3665
448	2981	3659
449	2988	3652
450	2994	3645
451	3000	3637
452	3007	3631
453	3013	3624
454	3020	3617
455	3026	3610
456	3033	3604
457	3040	3597
458	3046	3590
459	3052	3583
460	3058	3576
461	3066	3570
462	3072	3563
463	3078	3556
464	3085	3550
465	3091	3543
466	3099	3537
467	3105	3530
468	3113	3524
469	3119	3517
470	3126	3511
471	3132	3504
472	3139	3497
473	3146	3491
474	3152	3484
475	3159	3478
476	3166	3471
477	3172	3464
478	3179	3458
479	3186	3451
480	3193	3445
481	3199	3438
482	3206	3432
483	3213	3425
484	3220	3419
485	3226	3412
486	3233	3405
487	3239	3399
488	3246	3392
489	3253	3386
490	3259	3379
491	3266	3372
492	3273	3366
493	3279	3359
494	3286	3352
495	3292	3345
496	3299	3339
497	3305	3332
498	3312	3325
499	3319	3319
500	3325	3312
501	3332	3305
502	3338	3298
503	3345	3292
504	3352	3286
505	3359	3279
506	3365	3272
507	3371	3265
508	3379	3259
509	3385	3253
510	3392	3246
511	3399	3239
512	3405	3233
513	3412	3226
514	3418	3219
515	3426	3213
516	3432	3206
517	3439	3200
518	3446	3193
519	3452	3187
520	3459	3180
521	3466	3173
522	3473	3167
523	3479	3160
524	3485	3153
525	3492	3147
526	3499	3140
527	3506	3134
528	3512	3127
529	3519	3121
530	3526	3114
531	3533	3108
532	3540	3102
533	3547	3095
534	3553	3088
535	3559	3081
536	3567	3075
537	3572	3068
538	3579	3061
539	3586	3054
540	3592	3047
541	3599	3041
542	3605	3034
543	3612	3028
544	3619	3021
545	3626	3015
546	3633	3008
547	3639	3001
548	3646	2995
549	3652	2988
550	3659	2981
551	3665	2975
552	3672	2968
553	3678	2961
554	3685	2954
555	3692	2948
556	3699	2942
557	3705	2935
558	3712	2928
559	3718	2921
560	3725	2915
561	3731	2908
562	3738	2901
563	3744	2894
564	3750	2887
565	3757	2881
566	3764	2874
567	3770	2867
568	3776	2860
569	3782	2853
570	3789	2847
571	3795	2839
572	3802	2833
573	3809	2826
574	3815	2820
575	3822	2813
576	3828	2807
577	3836	2800
578	3842	2794
579	3850	2788
580	3856	2781
581	3863	2774
582	3870	2768
583	3876	2761
584	3883	2754
585	3889	2747
586	3896	2741
587	3903	2734
588	3910	2728
589	3916	2721
590	3923	2714
591	3930	2709
592	3936	2702
593	3943	2695
594	3950	2688
595	3956	2682
596	3963	2675
597	3970	2668
598	3977	2662
599	3983	2655
600	3990	2649
601	3996	2642
602	4003	2635
603	4009	2628
604	4015	2621
605	4022	2615
606	4029	2608
607	4035	2601
608	4042	2595
609	4048	2588
610	4056	2582
611	4063	2576
612	4070	2569
613	4076	2562
614	4083	2556
615	4090	2549
616	4096	2542
617	4102	2536
618	4108	2529
619	4116	2522
620	4123	2516
621	4129	2509
622	4135	2502
623	4141	2495
624	4149	2489
625	4155	2482
626	4162	2476
627	4169	2469
628	4175	2463
629	4182	2456
630	4188	2449
631	4196	2443
632	4202	2436
633	4209	2430
634	4216	2423
635	4223	2416
636	4230	2410
637	4236	2403
638	4243	2397
639	4250	2390
640	4257	2384
641	4264	2378
642	4271	2371
643	4278	2365
644	4285	2358
645	4292	2352
646	4299	2345
647	4306	2339
648	4312	2332
649	4319	2326
650	4326	2319
651	4333	2312
652	4340	2306
653	4347	2299
654	4368	2301
655	4375	2294
656	4381	2287
657	4387	2280
658	4394	2273
659	4400	2267
660	4407	2260
661	4413	2253
662	4420	2246
663	4426	2240
664	4433	2233
665	4439	2226
666	4446	2219
667	4453	2213
668	4461	2207
669	4468	2200
670	4474	2194
671	4481	2187
672	4487	2180
673	4494	2173
674	4501	2167
675	4508	2160
676	4514	2153
677	4522	2147
678	4529	2141
679	4535	2134
680	4542	2127
681	4548	2120
682	4555	2114
683	4561	2107
684	4567	2100
685	4574	2093
686	4580	2086
687	4587	2080
688	4594	2073
689	4602	2067
690	4608	2060
691	4615	2054
692	4621	2047
693	4628	2040
694	4635	2034
695	4641	2027
696	4648	2020
697	4655	2014
698	4661	2007
699	4668	2000
700	4675	1994
701	4682	1987
702	4688	1980
703	4695	1974
704	4701	1967
705	4708	1960
706	4715	1954
707	4722	1947
708	4728	1940
709	4734	1933
710	4741	1927
711	4748	1920
712	4754	1913
713	4761	1907
714	4767	1900
715	4775	1894
716	4782	1887
717	4789	1880
718	4795	1874
719	4801	1867
720	4808	1860
721	4815	1854
722	4821	1847
723	4827	1840
724	4834	1833
725	4841	1827
726	4847	1820
727	4854	1813
728	4860	1806
729	4867	1800
730	4873	1793
731	4880	1786
732	4887	1780
733	4893	1773
734	4899	1766
735	4906	1759
736	4913	1753
737	4920	1746
738	4926	1740
739	4933	1733
740	4940	1726
741	4947	1720
742	4953	1713
743	4960	1706
744	4967	1700
745	4973	1693
746	4980	1686
747	4986	1679
748	4993	1673
749	4999	1666
750	5006	1659
751	5013	1653
752	5019	1646
753	5027	1640
754	5033	1633
755	5040	1626
756	5047	1620
757	5054	1613
758	5061	1607
759	5067	1600
760	5073	1593
761	5079	1586
762	5087	1580
763	5093	1573
764	5099	1566
765	5106	1559
766	5112	1553
767	5119	1546
768	5125	1539
769	5131	1532
770	5139	1526
771	5145	1519
772	5152	1513
773	5159	1506
774	5166	1499
775	5172	1493
776	5179	1486
777	5185	1479
778	5191	1472
779	5198	1466
780	5205	1459
781	5211	1452
782	5218	1446
783	5225	1439
784	5231	1432
785	5239	1426
786	5246	1419
787	5252	1413
788	5258	1406
789	5266	1399
790	5272	1393
791	5279	1386
792	5285	1379
793	5292	1373
794	5299	1366
795	5306	1359
796	5313	1353
797	5320	1346
798	5327	1340
799	5334	1333
800	5340	1326
801	5347	1320
802	5354	1313
803	5360	1306
804	5368	1300
805	5374	1293
806	5380	1286
807	5388	1280
808	5394	1273
809	5401	1267
810	5408	1260
811	5416	1253
812	5422	1247
813	5428	1240
814	5435	1233
815	5441	1227
816	5448	1220
817	5454	1213
818	5461	1207
819	5468	1200
820	5474	1193
821	5481	1187
822	5488	1180
823	5495	1173
824	5501	1166
825	5507	1160
826	5514	1153
827	5520	1146
828	5527	1140
829	5533	1133
830	5539	1126
831	5546	1120
832	5553	1113
833	5560	1106
834	5566	1099
835	5573	1093
836	5581	1086
837	5587	1080
838	5594	1073
839	5601	1066
840	5607	1060
841	5613	1053
842	5620	1046
843	5627	1040
844	5633	1033
845	5640	1026
846	5647	1020
847	5654	1013
848	5660	1006
849	5667	1000
850	5674	993
851	5680	986
852	5688	980
853	5694	973
854	5701	966
855	5708	960
856	5715	953
857	5722	947
858	5729	940
859	5736	933
860	5743	927
861	5750	920
862	5757	913
863	5764	907
864	5771	900
865	5777	894
866	5784	887
867	5791	880
868	5798	874
869	5804	867
870	5812	860
871	5818	854
872	5825	847
873	5832	840
874	5838	834
875	5845	827
876	5851	820
877	5857	813
878	5863	807
879	5870	800
880	5877	793
881	5883	787
882	5890	780
883	5896	773
884	5903	767
885	5910	760
886	5916	753
887	5922	747
888	5929	740
889	5936	733
890	5942	727
891	5949	720
892	5956	713
893	5962	706
894	5969	700
895	5975	693
896	5982	686
897	5989	680
898	5995	673
899	6001	666
900	6007	660
901	6015	653
902	6022	646
903	6029	640
904	6035	633
905	6041	626
906	6048	620
907	6055	613
908	6063	606
909	6068	600
910	6075	593
911	6082	586
912	6088	580
913	6095	573
914	6101	566
915	6108	560
916	6115	553
917	6122	546
918	6129	540
919	6135	533
920	6143	526
921	6149	520
922	6156	513
923	6162	506
924	6169	500
925	6176	493
926	6182	486
927	6189	480
928	6196	473
929	6203	466
930	6210	460
931	6217	453
932	6224	446
933	6231	440
934	6238	433
935	6244	426
936	6251	420
937	6257	413
938	6264	406
939	6271	400
940	6277	393
941	6284	386
942	6290	380
943	6298	373
944	6305	366
945	6311	360
946	6317	353
947	6323	346
948	6331	340
949	6337	333
950	6344	326
951	6350	320
952	6357	313
953	6363	306
954	6369	300
955	6376	293
956	6382	286
957	6390	280
958	6397	273
959	6403	266
960	6410	260
961	6416	253
962	6424	246
963	6430	240
964	6437	233
965	6444	226
966	6451	220
967	6458	213
968	6465	206
969	6472	200
970	6479	193
971	6486	186
972	6492	180
973	6499	173
974	6506	166
975	6512	160
976	6518	153
977	6525	146
978	6531	140
979	6538	133
980	6545	126
981	6552	120
982	6558	113
983	6566	106
984	6572	100
985	6579	93
986	6586	86
987	6592	80
988	6599	73
989	6606	66
990	6613	60
991	6619	53
992	6626	46
993	6633	40
994	6639	33
995	6645	26
996	6651	20
997	6658	13
998	6664	6
999	6671	0
