iter	RMSE
444	0.5877820853
445	0.5877254462
446	0.5876456816
447	0.5875377767
448	0.5874402821
449	0.5873467921
450	0.5872560716
451	0.5871434127
452	0.5870659116
453	0.5869827512
454	0.5869153412
455	0.5868297876
456	0.5867396484
457	0.5866562762
458	0.5865679076
459	0.5864838782
460	0.5863384545
461	0.5862412321
462	0.5862352732
463	0.5861087128
464	0.5859705279
465	0.58586768
466	0.5857798142
467	0.5856782646
468	0.5855765977
469	0.5854262607
470	0.5853268545
471	0.5852611666
472	0.5851537397
473	0.5850593098
474	0.5849638844
475	0.5848850896
476	0.5848766544
477	0.584827853
478	0.5847067574
479	0.5846373534
480	0.5845293843
481	0.5844366214
482	0.5843352628
483	0.5842665073
484	0.5842207801
485	0.584161674
486	0.5840874847
487	0.5839613646
488	0.5838409364
489	0.5837777217
490	0.5837732707
491	0.5836518154
492	0.5835987266
493	0.5835940846
494	0.5834857478
495	0.5833691852
496	0.5832602918
497	0.5831663114
498	0.5830672557
499	0.5829770161
500	0.5829727874
501	0.5828830924
502	0.5827799666
503	0.5827126452
504	0.5826197606
505	0.5825553118
506	0.5824729231
507	0.5823661915
508	0.5822866588
509	0.582129458
510	0.5820278183
511	0.5819272425
512	0.5818163308
513	0.5817390805
514	0.5816606261
515	0.5816018752
516	0.5815209628
517	0.5814054695
518	0.5813183715
519	0.5812306352
520	0.5811257246
521	0.5810888585
522	0.5810273721
523	0.5809064922
524	0.5807786504
525	0.5807212678
526	0.5806562595
527	0.5805876643
528	0.5804730903
529	0.5803996857
530	0.5803074087
531	0.580211568
532	0.5801522923
533	0.5800497863
534	0.5800465974
535	0.5799017791
536	0.5798118911
537	0.5798083681
538	0.5797934506
539	0.5797207041
540	0.5796488592
541	0.5796041356
542	0.5795333817
543	0.5794292202
544	0.5793019729
545	0.5792045901
546	0.5791199974
547	0.5790468568
548	0.5789020924
549	0.5787992956
550	0.5787178614
551	0.5786119587
552	0.578549012
553	0.5784480351
554	0.5784024852
555	0.5782690625
556	0.5781297381
557	0.5780357793
558	0.5779294636
559	0.5778249539
560	0.5777683131
561	0.5776935468
562	0.5776036502
563	0.5775614708
564	0.5774398068
565	0.5773271053
566	0.5771937218
567	0.5771463946
568	0.5770493223
569	0.5769658743
570	0.5768667459
571	0.5768551879
572	0.5767517484
573	0.5766712062
574	0.576603415
575	0.5765753125
576	0.5765013603
577	0.5764430864
578	0.5763661408
579	0.5763485905
580	0.5762834248
581	0.5761796062
582	0.5760736056
583	0.5760026964
584	0.5759395902
585	0.5758461394
586	0.5757628607
587	0.5756897429
588	0.5756022079
589	0.5755209133
590	0.5754810158
591	0.575353758
592	0.5752237755
593	0.575156758
594	0.5750696398
595	0.5749830476
596	0.5749258928
597	0.5748766219
598	0.5747733858
599	0.5746916351
600	0.5745559752
601	0.5744955593
602	0.5743952887
603	0.5743913396
604	0.5743760712
605	0.574281668
606	0.5741807299
607	0.5741765381
608	0.5741254768
609	0.5740051304
610	0.5739322198
611	0.5738415345
612	0.5737761878
613	0.5736715227
614	0.5736106192
615	0.5735259114
616	0.5734348182
617	0.5733683325
618	0.5733438418
619	0.5732569627
620	0.5731705819
621	0.5730891817
622	0.5730154335
623	0.5729174179
624	0.5728539982
625	0.5727218683
626	0.5726007696
627	0.5725204738
628	0.5724451889
629	0.5723713472
630	0.5722810638
631	0.5722099982
632	0.5721027885
633	0.5720115687
634	0.5719238943
635	0.571847223
636	0.571766371
637	0.5716626045
638	0.5715933667
639	0.5715492655
640	0.5714680375
641	0.571341188
642	0.571271169
643	0.5711923741
644	0.5710872246
645	0.5709665306
646	0.5708683782
647	0.5707522947
648	0.5706718136
649	0.5706107513
650	0.5704936297
651	0.5704065459
652	0.570338609
653	0.5702508532
654	0.5701688969
655	0.5701544734
656	0.5700990442
657	0.5700193391
658	0.5699228027
659	0.5699193448
660	0.5698357145
661	0.5697608488
662	0.5696850739
663	0.5696070674
664	0.569519673
665	0.5694258081
666	0.5693405846
667	0.569248043
668	0.5691789242
669	0.569080126
670	0.5690210349
671	0.5689143008
672	0.5688311153
673	0.5687511061
674	0.5686921387
675	0.5686528787
676	0.5685875378
677	0.5685040281
678	0.5685010592
679	0.5684202371
680	0.5683098781
681	0.5682396273
682	0.5681520249
683	0.5680656048
684	0.5679795503
685	0.5678580519
686	0.5677945672
687	0.567704166
688	0.5676037628
689	0.5675304758
690	0.5674571721
691	0.5673738399
692	0.5672681633
693	0.5672052628
694	0.5671235891
695	0.5670501195
696	0.566941631
697	0.5668430662
698	0.5667671905
699	0.5666605033
700	0.5666090233
701	0.5665285799
702	0.5664783296
703	0.5664386665
704	0.5664351056
705	0.5663729653
706	0.5663014166
707	0.5662337479
708	0.5661701582
709	0.5660688577
710	0.5660656951
711	0.5659759692
712	0.565897906
713	0.5658285348
714	0.5658016314
715	0.5657199838
716	0.5656585483
717	0.5655652081
718	0.5655397112
719	0.5654685484
720	0.5653706306
721	0.5652878215
722	0.5651841523
723	0.565123112
724	0.5650070223
725	0.5649545272
726	0.564866582
727	0.5647852868
728	0.5647072262
729	0.5646687859
730	0.5646198244
731	0.5645642111
732	0.564468456
733	0.5643518116
734	0.5643437309
735	0.5642576023
736	0.5641594112
737	0.5640793035
738	0.5639689374
739	0.5638768346
740	0.5637920942
741	0.5637382799
742	0.563688901
743	0.5636062046
744	0.563524453
745	0.5634521254
746	0.5633793687
747	0.5633235826
748	0.5632647439
749	0.5631608164
750	0.5631276083
751	0.5630327349
752	0.5629255858
753	0.5628831882
754	0.5628190766
755	0.562793144
756	0.562699046
757	0.5626157151
758	0.5625295729
759	0.5624499893
760	0.5623478854
761	0.5622333108
762	0.5621694782
763	0.5620985912
764	0.5620252612
765	0.56202133
766	0.5619327284
767	0.5617988334
768	0.5617109619
769	0.5616395995
770	0.5615686256
771	0.5614746201
772	0.561389058
773	0.5612689501
774	0.5612186555
775	0.5611623624
776	0.5610728516
777	0.5610589643
778	0.5609684762
779	0.5609347549
780	0.5608546407
781	0.5607796297
782	0.5607101541
783	0.5605987467
784	0.5605500115
785	0.560480978
786	0.5604093844
787	0.560388562
788	0.5602519036
789	0.5601827171
790	0.5600708736
791	0.5600299245
792	0.5599637487
793	0.5598337714
794	0.5597488055
795	0.5596995887
796	0.5596341755
797	0.5595352347
798	0.5594741403
799	0.5593920614
800	0.5593053611
801	0.5592221185
802	0.559154595
803	0.5590861274
804	0.5590063669
805	0.5588987584
806	0.5587765557
807	0.558705034
808	0.5586106312
809	0.5585565712
810	0.5584903955
811	0.5584056157
812	0.5583035732
813	0.5583010856
814	0.5582084838
815	0.5581556448
816	0.5581176194
817	0.5581015656
818	0.5579966405
819	0.5579472027
820	0.5578517291
821	0.5578129558
822	0.5577500143
823	0.5576550439
824	0.5576055321
825	0.5575223701
826	0.5574324223
827	0.55735475
828	0.5572353025
829	0.5571392795
830	0.5570949562
831	0.5570009815
832	0.5569353345
833	0.5568537524
834	0.5567880291
835	0.5566830197
836	0.5566195501
837	0.556548582
838	0.5565014653
839	0.5564491376
840	0.5563172511
841	0.5562022607
842	0.5561100368
843	0.5560614458
844	0.5559690429
845	0.5559046498
846	0.5558487437
847	0.5557722776
848	0.5557006692
849	0.5556103971
850	0.5555284416
851	0.5554562416
852	0.5553778999
853	0.5553236564
854	0.5552514427
855	0.5551749942
856	0.5550767186
857	0.5549999719
858	0.5549252641
859	0.5548490083
860	0.5547801203
861	0.5546979735
862	0.5545935772
863	0.5545886225
864	0.5545056419
865	0.5544396254
866	0.5543764995
867	0.5542830715
868	0.5542154544
869	0.5541490672
870	0.554042742
871	0.553972428
872	0.5539669781
873	0.5538828296
874	0.5537763797
875	0.5536980613
876	0.5536426363
877	0.5535828143
878	0.5535166709
879	0.5534291642
880	0.5533880397
881	0.55329562
882	0.553208303
883	0.5531392196
884	0.5530466293
885	0.5530140951
886	0.5530123731
887	0.5529243861
888	0.5528589262
889	0.5527825246
890	0.5526868854
891	0.5525975975
892	0.5525087111
893	0.5524503951
894	0.5523553575
895	0.552299398
896	0.5522006956
897	0.5521249933
898	0.5520499778
899	0.5520472619
900	0.5520114826
901	0.5519785359
902	0.5518910828
903	0.5518459492
904	0.5518424663
905	0.5517137059
906	0.5516317641
907	0.5515371537
908	0.5514827223
909	0.551480245
910	0.5514001562
911	0.5513380578
912	0.5512591881
913	0.5511529364
914	0.5510737062
915	0.5510070343
916	0.5509369337
917	0.5508588011
918	0.5508091586
919	0.5507584436
920	0.550686759
921	0.5506212922
922	0.5506168437
923	0.5505290841
924	0.5504620433
925	0.5503729406
926	0.5502908733
927	0.5502135089
928	0.5501571208
929	0.5500606086
930	0.5499489086
931	0.549856739
932	0.5497709396
933	0.5497084086
934	0.5496850792
935	0.549590822
936	0.5494983432
937	0.5494948544
938	0.5494066511
939	0.5493345492
940	0.5492402281
941	0.5491686026
942	0.549134052
943	0.5490931777
944	0.5490239576
945	0.5489463444
946	0.5488668586
947	0.5488080683
948	0.5487453061
949	0.5486773339
950	0.5485837981
951	0.5485160931
952	0.5484296453
953	0.5483407223
954	0.5482294155
955	0.548161815
956	0.5480934325
957	0.5480100394
958	0.5479079888
959	0.5478542497
960	0.5477890206
961	0.5477013373
962	0.5476096001
963	0.5475349552
964	0.5474589489
965	0.5473947331
966	0.5473147247
967	0.5472428607
968	0.5471716589
969	0.5471698418
970	0.5471181914
971	0.5470742466
972	0.5469840634
973	0.5469299027
974	0.5468791161
975	0.5468769372
976	0.5468111634
977	0.5467258351
978	0.5466452918
979	0.5465821409
980	0.5465075944
981	0.5464451776
982	0.5463583837
983	0.5463558971
984	0.5462687248
985	0.5461997826
986	0.5461443735
987	0.5460918305
988	0.5460122107
989	0.5459317342
990	0.545814646
991	0.5457462223
992	0.5456639982
993	0.5455805617
994	0.545471231
995	0.5454690467
996	0.5454044694
997	0.5453306509
998	0.545254755
999	0.5451784649
